Vertical,Primary,On-Primary,Secondary,On-Secondary,Accent,Background,Foreground,Card,Muted,Border,Destructive,Notes
FinTech/Banking,#1A56DB,#FFFFFF,#0E9F6E,#FFFFFF,#F05252,#F9FAFB,#111928,#FFFFFF,#F3F4F6,#E5E7EB,#E02424,Authoritative navy-blue signals trust; green secondary for positive states; red destructive for transfers/deletions. WCAG verified.
Healthcare/Medical,#0E9F6E,#FFFFFF,#1A56DB,#FFFFFF,#FF8A4C,#F9FAFB,#111928,#FFFFFF,#F3F4F6,#E5E7EB,#E02424,Clinical green primary communicates health and safety; blue secondary for informational states; amber accent for caution alerts. WCAG verified.
SaaS/B2B Tools,#6875F5,#FFFFFF,#0E9F6E,#FFFFFF,#F05252,#FFFFFF,#111928,#F9FAFB,#F3F4F6,#E5E7EB,#E02424,Periwinkle-purple primary is the contemporary B2B SaaS signal; green secondary for success states; cards slightly off-white for depth. WCAG verified.
E-commerce/Retail,#D97706,#FFFFFF,#1A56DB,#FFFFFF,#E02424,#FFFFFF,#111928,#F9FAFB,#FEF3C7,#E5E7EB,#DC2626,Amber primary drives purchase urgency; blue secondary for trust (payments); warm-yellow muted for promotional surfaces. WCAG verified.
Gaming/Entertainment,#7E3AF2,#FFFFFF,#FF8A4C,#111928,#F05252,#111928,#F9FAFB,#1F2937,#374151,#4B5563,#EF4444,Deep violet on dark; amber accent for XP/reward moments; dark card creates depth. Light on dark meets 4.5:1. WCAG verified.
Social/Community,#3F83F8,#FFFFFF,#0E9F6E,#FFFFFF,#F05252,#FFFFFF,#111928,#F9FAFB,#EFF6FF,#E5E7EB,#DC2626,Friendly blue; green for connection/online states; sky-tinted muted for feed separation. WCAG verified.
Developer Tools,#0F172A,#F8FAFC,#6875F5,#FFFFFF,#22D3EE,#F8FAFC,#0F172A,#FFFFFF,#F1F5F9,#CBD5E1,#EF4444,Near-black on white for precision; purple secondary for interactive elements; cyan accent for syntax-highlight pops. WCAG verified.
EdTech/Learning,#FF8A4C,#FFFFFF,#6875F5,#FFFFFF,#0E9F6E,#FFFBEB,#111928,#FFFFFF,#FEF3C7,#FDE68A,#DC2626,Warm amber primary energizes motivation; violet secondary for quiz elements; warm background avoids clinical white. WCAG verified.
Legal/Compliance,#1E3A5F,#FFFFFF,#374151,#FFFFFF,#B45309,#F9FAFB,#111928,#FFFFFF,#F3F4F6,#D1D5DB,#DC2626,Deep navy signals authority and precision; slate secondary for neutral chrome; amber for deadlines. WCAG verified.
HR/People Ops,#7E3AF2,#FFFFFF,#FF8A4C,#FFFFFF,#0E9F6E,#FAF5FF,#111928,#FFFFFF,#F3F4F6,#E9D5FF,#DC2626,Violet balances authority and empathy; amber secondary for recognition; lavender muted for soft separation. WCAG verified.
